"Year","Economy_Label","Flow_Label","US_at_current_prices_in_millions_Value"
"1949-01-01 00:00:00","Viet_Nam","Exports",0.0
"1949-01-01 00:00:00","Viet_Nam","Imports",0.0
"1950-01-01 00:00:00","Argentina","Exports",1178.0
"1950-01-01 00:00:00","Argentina","Imports",964.0
"1950-01-01 00:00:00","Australia","Exports",1668.0
"1950-01-01 00:00:00","Australia","Imports",1572.0
"1950-01-01 00:00:00","Belgium","Exports",1652.0
"1950-01-01 00:00:00","Belgium","Imports",1950.0
"1950-01-01 00:00:00","Brazil","Exports",1359.0
"1950-01-01 00:00:00","Brazil","Imports",1090.0
"1950-01-01 00:00:00","Canada","Exports",3020.0
"1950-01-01 00:00:00","Canada","Imports",3108.0
"1950-01-01 00:00:00","Chile","Exports",281.0
"1950-01-01 00:00:00","Chile","Imports",294.0
"1950-01-01 00:00:00","China","Exports",550.0
"1950-01-01 00:00:00","China","Imports",580.0
"1950-01-01 00:00:00","Hong_Kong","Exports",650.0
"1950-01-01 00:00:00","Hong_Kong","Imports",663.0
"1950-01-01 00:00:00","Taiwan","Exports",73.0
"1950-01-01 00:00:00","Taiwan","Imports",110.0
"1950-01-01 00:00:00","Colombia","Exports",394.0
"1950-01-01 00:00:00","Colombia","Imports",365.0
"1950-01-01 00:00:00","Denmark","Exports",665.0
"1950-01-01 00:00:00","Denmark","Imports",853.0
"1950-01-01 00:00:00","Egypt","Exports",504.0
"1950-01-01 00:00:00","Egypt","Imports",619.0
"1950-01-01 00:00:00","Finland","Exports",390.0
"1950-01-01 00:00:00","Finland","Imports",386.0
"1950-01-01 00:00:00","France","Exports",3134.0
"1950-01-01 00:00:00","France","Imports",3142.0
"1950-01-01 00:00:00","Germany","Exports",0.0
"1950-01-01 00:00:00","Germany","Imports",0.0
"1950-01-01 00:00:00","Hungary","Exports",329.0
"1950-01-01 00:00:00","Hungary","Imports",313.0
"1950-01-01 00:00:00","India","Exports",1145.0
"1950-01-01 00:00:00","India","Imports",1091.0
"1950-01-01 00:00:00","Indonesia","Exports",0.0
"1950-01-01 00:00:00","Indonesia","Imports",0.0
"1950-01-01 00:00:00","Israel","Exports",35.0
"1950-01-01 00:00:00","Israel","Imports",302.0
"1950-01-01 00:00:00","Italy","Exports",1206.0
"1950-01-01 00:00:00","Italy","Imports",1483.0
"1950-01-01 00:00:00","Japan","Exports",825.0
"1950-01-01 00:00:00","Japan","Imports",964.0
"1950-01-01 00:00:00","Malaysia","Exports",1004.0
"1950-01-01 00:00:00","Malaysia","Imports",538.0
"1950-01-01 00:00:00","Mexico","Exports",532.0
"1950-01-01 00:00:00","Mexico","Imports",549.0
"1950-01-01 00:00:00","Netherlands","Exports",1604.0
"1950-01-01 00:00:00","Netherlands","Imports",2434.0
"1950-01-01 00:00:00","Norway","Exports",390.0
"1950-01-01 00:00:00","Norway","Imports",678.0
"1950-01-01 00:00:00","Peru","Exports",194.0
"1950-01-01 00:00:00","Peru","Imports",192.0
"1950-01-01 00:00:00","Philippines","Exports",331.0
"1950-01-01 00:00:00","Philippines","Imports",376.0
"1950-01-01 00:00:00","Poland","Exports",630.0
"1950-01-01 00:00:00","Poland","Imports",663.0
"1950-01-01 00:00:00","Portugal","Exports",186.0
"1950-01-01 00:00:00","Portugal","Imports",274.0
"1950-01-01 00:00:00","South_Korea","Exports",23.0
"1950-01-01 00:00:00","South_Korea","Imports",54.0
"1950-01-01 00:00:00","Russia","Exports",0.0
"1950-01-01 00:00:00","Russia","Imports",0.0
"1950-01-01 00:00:00","Saudi_Arabia","Exports",340.0
"1950-01-01 00:00:00","Saudi_Arabia","Imports",115.0
"1950-01-01 00:00:00","South_Africa","Exports",1151.0
"1950-01-01 00:00:00","South_Africa","Imports",921.0
"1950-01-01 00:00:00","Spain","Exports",389.0
"1950-01-01 00:00:00","Spain","Imports",389.0
"1950-01-01 00:00:00","Sweden","Exports",1103.0
"1950-01-01 00:00:00","Sweden","Imports",1183.0
"1950-01-01 00:00:00","Switzerland","Exports",894.0
"1950-01-01 00:00:00","Switzerland","Imports",1037.0
"1950-01-01 00:00:00","Thailand","Exports",304.0
"1950-01-01 00:00:00","Thailand","Imports",209.0
"1950-01-01 00:00:00","Tunisia","Exports",114.0
"1950-01-01 00:00:00","Tunisia","Imports",147.0
"1950-01-01 00:00:00","Turkiye","Exports",264.0
"1950-01-01 00:00:00","Turkiye","Imports",311.0
"1950-01-01 00:00:00","Ukraine","Exports",0.0
"1950-01-01 00:00:00","Ukraine","Imports",0.0
"1950-01-01 00:00:00","United_Kingdom","Exports",6325.0
"1950-01-01 00:00:00","United_Kingdom","Imports",7305.0
"1950-01-01 00:00:00","United_States","Exports",9993.0
"1950-01-01 00:00:00","United_States","Imports",9631.0
"1950-01-01 00:00:00","Venezuela","Exports",929.0
"1950-01-01 00:00:00","Venezuela","Imports",597.0
"1950-01-01 00:00:00","Viet_Nam","Exports",0.0
"1950-01-01 00:00:00","Viet_Nam","Imports",0.0
"1951-01-01 00:00:00","Argentina","Exports",1169.0
"1951-01-01 00:00:00","Argentina","Imports",1480.0
"1951-01-01 00:00:00","Australia","Exports",2038.0
"1951-01-01 00:00:00","Australia","Imports",2372.0
"1951-01-01 00:00:00","Belgium","Exports",2654.0
"1951-01-01 00:00:00","Belgium","Imports",2550.0
"1951-01-01 00:00:00","Brazil","Exports",1771.0
"1951-01-01 00:00:00","Brazil","Imports",1987.0
"1951-01-01 00:00:00","Canada","Exports",3911.0
"1951-01-01 00:00:00","Canada","Imports",4105.0
"1951-01-01 00:00:00","Chile","Exports",370.0
"1951-01-01 00:00:00","Chile","Imports",329.0
"1951-01-01 00:00:00","China","Exports",760.0
"1951-01-01 00:00:00","China","Imports",1200.0
